order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
ORD_0032501,2025-11-07 03:26:25,PROD_00180,STORE_002,1,1247.99,10.0,Paid,0
ORD_0031353,2025-10-02 17:58:00,PROD_00006,STORE_011,1,407.52,25.0,Paid,0
ORD_0031650,2025-12-19 07:53:36,PROD_00008,STORE_013,1,649.56,0.0,Failed,0
ORD_0015092,2025-10-14 02:33:06,PROD_00147,STORE_014,1,2039.04,30.0,Paid,0
ORD_0021307,2025-09-29 23:23:51,PROD_00244,STORE_018,2,1284.6,20.0,Paid,0
ORD_0027009,2025-09-09 10:05:16,PROD_00003,STORE_015,3,106.65,10.0,Paid,0
ORD_0021042,2025-10-13 18:01:09,PROD_00032,STORE_007,3,754.98,25.0,Paid,0
ORD_0024356,2025-11-17 15:53:55,PROD_00109,STORE_002,1,1827.9,25.0,Paid,0
ORD_0017055,2025-11-28 13:11:49,PROD_00151,STORE_012,1,859.21,0.0,Paid,0
ORD_0012260,2025-11-06 16:41:41,PROD_00057,STORE_001,2,842.54,10.0,Refunded,0
ORD_0005822,2025-11-24 08:46:43,PROD_00275,STORE_004,1,813.47,10.0,Paid,1
ORD_0026953,2025-09-08 17:57:52,PROD_00218,STORE_009,1,815.44,0.0,Failed,0
ORD_0005882,2025-09-12 20:31:15,PROD_00139,STORE_014,1,389.14,0.0,Paid,0
ORD_0002118,2025-12-24 02:12:30,PROD_00249,STORE_008,1,300.94,0.0,Paid,0
ORD_0023045,2025-09-19 15:20:00,PROD_00274,STORE_008,2,2761.72,0.0,Paid,0
ORD_0001279,2025-11-25 06:05:55,PROD_00027,STORE_013,1,3590.55,15.0,Paid,0
ORD_0015141,2025-12-01 18:47:18,PROD_00264,STORE_015,1,536.19,20.0,Paid,0
ORD_0013618,2025-11-30 03:26:25,PROD_00049,STORE_009,1,900.43,30.0,Paid,0
ORD_0029903,2025-11-21 15:32:36,PROD_00263,STORE_011,1,2157.69,5.0,Paid,0
ORD_0022178,2025-10-01 14:59:48,PROD_00135,STORE_015,1,127.56,,Paid,0
ORD_0021765,2025-12-26 17:47:12,PROD_00123,STORE_010,3,106.06,10.0,Paid,0
ORD_0011779,2025-10-03 05:46:52,PROD_00181,STORE_015,1,602.11,0.0,Paid,0
ORD_0019971,2025-10-10 11:45:59,PROD_00034,STORE_008,3,390.83,10.0,Paid,0
ORD_0014190,00/00/0000,PROD_00007,STORE_011,1,19.63,15.0,Refunded,0
ORD_0005549,2025-09-25 14:49:59,PROD_00216,STORE_016,2,3036.27,20.0,Paid,0
ORD_0030025,2025-12-26 14:28:05,PROD_00158,STORE_010,4,1665.78,10.0,Paid,0
ORD_0024440,2026-01-01 14:31:11,PROD_00083,STORE_014,1,207.75,5.0,Paid,1
ORD_0024484,2025-10-19 21:22:30,PROD_00040,STORE_013,2,1220.87,0.0,Paid,0
ORD_0026130,2025-11-29 22:00:54,PROD_00289,STORE_013,1,15.01,30.0,Paid,0
ORD_0016063,2025-12-09 03:49:31,PROD_00185,STORE_006,1,318.89,15.0,Failed,0
ORD_0015558,2025-10-04 07:34:27,PROD_00110,STORE_015,1,1465.67,10.0,Paid,0
ORD_0001484,2026-01-01 03:57:16,PROD_00155,STORE_010,2,347.83,0.0,Paid,0
ORD_0028647,2025-12-27 12:37:31,PROD_00036,STORE_011,2,486.2,10.0,Paid,0
ORD_0001292,2026-01-02 13:04:30,PROD_00215,STORE_017,1,1685.46,25.0,Paid,0
ORD_0007794,2025-10-30 17:36:09,PROD_00076,STORE_002,1,671.31,15.0,Paid,0
ORD_0007979,2025-12-21 22:35:15,PROD_00147,STORE_005,2,2912.91,0.0,Paid,0
ORD_0014595,2025-11-23 15:20:11,PROD_00203,STORE_001,1,2518.83,15.0,Paid,0
ORD_0024494,2025-12-09 10:07:04,PROD_00174,STORE_006,2,1342.86,0.0,Paid,0
ORD_0005659,2025-11-26 00:29:30,PROD_00050,STORE_018,1,580.36,0.0,Paid,0
ORD_0012757,2025-12-16 02:00:26,PROD_00265,STORE_016,1,3252.11,5.0,Paid,0
ORD_0023598,2025-11-20 13:13:38,PROD_00232,STORE_011,1,58.82,20.0,Paid,0
ORD_0018027,2025-09-14 04:49:44,PROD_00143,STORE_005,2,113.97,5.0,Paid,0
ORD_0005677,2025-09-26 05:44:48,PROD_00004,STORE_002,1,2886.8,20.0,Paid,0
ORD_0010927,2025-09-30 02:41:37,PROD_00070,STORE_016,1,347.88,,Paid,0
ORD_0016548,2025-12-01 22:56:47,PROD_00107,STORE_010,1,2097.24,0.0,Refunded,0
ORD_0018650,2025-10-09 06:56:05,PROD_00298,STORE_003,2,34.13,15.0,Paid,0
ORD_0029424,2025-10-07 09:48:27,PROD_00015,STORE_005,2,111.35,20.0,Failed,0
ORD_0026732,2025-10-04 15:27:51,PROD_00199,STORE_004,1,870.6,0.0,Paid,0
ORD_0031723,2025-10-31 08:41:27,PROD_00271,STORE_011,2,1395.47,0.0,Paid,0
ORD_0004813,2025-09-13 10:53:39,PROD_00140,STORE_013,1,481.84,30.0,Paid,0
ORD_0021025,2025-11-14 01:14:27,PROD_00191,STORE_018,2,2619.69,10.0,Refunded,0
ORD_0020558,2025-12-21 23:33:46,PROD_00059,STORE_018,1,414.59,0.0,Paid,0
ORD_0021526,2025-12-01 04:45:59,PROD_00071,STORE_003,1,903.5,20.0,Paid,0
